"Country" "Radar" "Error" "Comments"
"fi" "ika" "using radar wavelength stored for scan 1 (5.32 cm) for all scans; radial velocity Nyquist interval (7.6 m/s) too low, dropping scan" "/"
"fi" "kes" "using radar wavelength stored for scan 1 (5.32 cm) for all scans; radial velocity Nyquist interval (7.6 m/s) too low, dropping scan" "/"
"fi" "kor" "using radar wavelength stored for scan 1 (5.32 cm) for all scans; radial velocity Nyquist interval (7.6 m/s) too low, dropping scan" "/"
"fi" "kuo" "using radar wavelength stored for scan 1 (5.32 cm) for all scans; radial velocity Nyquist interval (7.6 m/s) too low, dropping scan" "/"
"fi" "luo" "using radar wavelength stored for scan 1 (5.32 cm) for all scans; radial velocity Nyquist interval (7.6 m/s) too low, dropping scan" "/"
"fi" "uta" "using radar wavelength stored for scan 1 (5.32 cm) for all scans; radial velocity Nyquist interval (7.6 m/s) too low, dropping scan" "/"
"fi" "van" "using radar wavelength stored for scan 1 (5.32 cm) for all scans; radial velocity Nyquist interval (7.6 m/s) too low, dropping scan" "/"
"fi" "vim" "using radar wavelength stored for scan 1 (5.32 cm) for all scans; radial velocity Nyquist interval (7.6 m/s) too low, dropping scan" "/"
"ee" "har" "radial velocity Nyquist interval (5.4 m/s) too low, dropping scan" "/"
"ee" "sur" "radial velocity Nyquist interval (5.4 m/s) too low, dropping scan" "/"
"dk" "bor" "radial velocity Nyquist interval (8.3 m/s) too low, dropping scan" "/"
"dk" "rom" "radial velocity Nyquist interval (8.3 m/s) too low, dropping scan" "/"
"dk" "sin" "radial velocity Nyquist interval (8.3 m/s) too low, dropping scan" "/"
"dk" "ste" "radial velocity Nyquist interval (8.3 m/s) too low, dropping scan" "/"
"dk" "vir" "radial velocity Nyquist interval (8.3 m/s) too low, dropping scan" "/"
